Month,TB96805000
2016-01-01,-49.75205125232732
2016-02-01,-4.587958933730755
2016-03-01,-4.280424552828743
2016-04-01,4.59288285859675
2016-05-01,10.87816236248728
2016-06-01,25.14669404263707
2016-07-01,47.51351550349012
2016-08-01,111.53524469829973
2016-09-01,36.82716678936673
2016-10-01,20.761812279216738
2016-11-01,-0.2519301057563353
2016-12-01,114.31071428834488
2017-01-01,28.29213793999852
2017-02-01,74.00231969210226
2017-03-01,78.26874092574266
2017-04-01,106.92642561822248
2017-05-01,134.82164697549752
2017-06-01,104.88339497403918
2017-07-01,249.22821505594308
2017-08-01,390.9367264397614
2017-09-01,87.46352664852056
2017-10-01,53.96306269164149
2017-11-01,80.43610638106186
2017-12-01,150.0486036987985
2018-01-01,187.47567290454808
2018-02-01,131.22462151083158
2018-03-01,111.25714471467653
2018-04-01,210.32166027768184
2018-05-01,326.15647516409666
2018-06-01,120.17382838229102
2018-07-01,513.000217321127
2018-08-01,647.1337146654975
2018-09-01,99.21454908341072
2018-10-01,82.93840616626849
2018-11-01,259.1201735495054
2018-12-01,41.103215540260145
2019-01-01,485.58695881909193
2019-02-01,157.2313165357336
2019-03-01,95.49874361277911
2019-04-01,317.1008842527305
2019-05-01,584.0732586914833
2019-06-01,70.83902724690223
2019-07-01,838.7592272513242
2019-08-01,878.1224164136504
2019-09-01,72.6426032560642
2019-10-01,110.03192488656171
2019-11-01,534.0253871273734
2019-12-01,-211.57423780023987
2020-01-01,923.8077188612924
2020-02-01,148.9329033195004
2020-03-01,422.24620459065744
2020-04-01,415.3038478480238
2020-05-01,353.8582977327767
2020-06-01,500.19624875647787
2020-07-01,694.2312190971505
2020-08-01,1289.4715686756388
2020-09-01,354.5622330210306
2020-10-01,172.9309251151779
2020-11-01,-1.8498900914571605
2020-12-01,755.816930741159
2021-01-01,170.1718176049611
2021-02-01,409.41962367519653
2021-03-01,404.6707333689479
2021-04-01,516.5894180807777
2021-05-01,613.6861330690004
2021-06-01,451.30453564195767
2021-07-01,1020.1250914323773
2021-08-01,1525.6830496959064
2021-09-01,326.60947166235735
2021-10-01,193.66726058886655
2021-11-01,277.8327035159702
2021-12-01,500.61430815497835
2022-01-01,604.7961794564104
2022-02-01,410.15601270694157
2022-03-01,338.4889356605799
2022-04-01,622.0407359968831
2022-05-01,939.9577203640018
2022-06-01,337.6477426639954
2022-07-01,1408.0959356220858
2022-08-01,1735.9585423666567
2022-09-01,260.3923695211465
2022-10-01,213.32559192149583
2022-11-01,653.3324075288878
2022-12-01,101.74127197323241
2023-01-01,1180.2119052274156
2023-02-01,375.52269776152934
2023-03-01,224.64765353558374
2023-04-01,733.9740822189857
2023-05-01,1331.7359027341397
2023-06-01,159.12106222530647
2023-07-01,1857.968305908772
2023-08-01,1918.3430285346026
2023-09-01,156.5848662089088
2023-10-01,234.23245155350142
2023-11-01,1122.716726814165
2023-12-01,-439.6439064977156
